Operating_System	Sessions	New_Sessions	New_Users	Bounce_Rate	PagesPerSession	AvgSessionDuration	Month
iOS	332291	47.75%	158674	60.79%	2.34	0:02:11	1/1/2015 0:00
Android	170107	45.53%	77453	58.14%	2.98	0:03:53	1/1/2015 0:00
Windows	27325	44.76%	12231	44.60%	3.26	0:02:40	1/1/2015 0:00
Windows Phone	10109	45.71%	4621	59.01%	2.14	0:01:45	1/1/2015 0:00
BlackBerry	1375	39.27%	540	62.98%	2.1	0:02:24	1/1/2015 0:00
(not set)	408	83.09%	339	72.30%	1.82	0:01:01	1/1/2015 0:00
Series40	151	91.39%	138	66.23%	1.37	0:00:09	1/1/2015 0:00
Samsung	44	86.36%	38	56.82%	1.57	0:00:20	1/1/2015 0:00
Nokia	25	100%	25	100%	1	0:00:00	1/1/2015 0:00
LG	13	100%	13	46.15%	1.92	0:02:52	1/1/2015 0:00
Bada	6	100%	6	100%	1	0:00:00	1/1/2015 0:00
Firefox OS	6	100%	6	100%	1	0:00:00	1/1/2015 0:00
Nintendo 3DS	6	100%	6	0%	2.17	0:00:48	1/1/2015 0:00
Playstation Vita	6	100%	6	100%	1	0:00:00	1/1/2015 0:00
SymbianOS	6	100%	6	100%	1	0:00:00	1/1/2015 0:00
iOS	294553	46.27%	136300	59.33%	2.44	0:02:26	2/1/2015 0:00
Android	147692	44.86%	66261	56.81%	3.02	0:03:48	2/1/2015 0:00
Windows	26601	42.83%	11392	43.72%	3.23	0:02:34	2/1/2015 0:00
Windows Phone	8703	48.99%	4264	57.04%	2.19	0:01:51	2/1/2015 0:00
BlackBerry	1525	41.84%	638	56.66%	2.76	0:03:54	2/1/2015 0:00
(not set)	503	75.15%	378	69.58%	1.98	0:01:24	2/1/2015 0:00
Series40	158	100%	158	71.52%	1.32	0:00:25	2/1/2015 0:00
SymbianOS	51	100%	51	88.24%	1.33	0:00:06	2/1/2015 0:00
Samsung	40	100%	40	100%	1	0:00:00	2/1/2015 0:00
Nokia	17	100%	17	100%	1	0:00:00	2/1/2015 0:00
Playstation Vita	17	100%	17	0%	2.35	0:02:14	2/1/2015 0:00
